,Title,ID,Score,Episodes,Duration_Minutes,Popularity,Rating_G - All Ages,Rating_None,Rating_PG - Children,Rating_PG-13 - Teens 13 or older,Rating_R - 17+ (violence & profanity),Rating_R+ - Mild Nudity,Rating_Rx - Hentai,Producers_closeness_centrality,Producers_betweenness_centrality,Producers_degree_centrality,Producers_clustering_coefficient,Themes_closeness_centrality,Themes_betweenness_centrality,Themes_degree_centrality,Themes_clustering_coefficient
0,.hack//G.U. Returner,2928.0,6.681,1.0,24.0,4215.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3418805000656824,0.011134275735814655,0.07279562542720439,0.5822368421052632,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
1,.hack//G.U. Trilogy,3269.0,7.091,1.0,93.0,3473.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.39679008619541767,0.02226855147162931,0.14285714285714288,0.16447368421052633,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
2,.hack//G.U. Trilogy: Parody Mode,4469.0,6.391,1.0,6.0,5599.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.39679008619541767,0.02226855147162931,0.14285714285714288,0.16447368421052633,0.691358024691358,0.01837365791896618,0.5306122448979591,0.6378151260504201
3,.hack//Gift,454.0,6.111,1.0,26.0,4271.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.28697091393594704,0.0,0.002734107997265892,1.0,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
4,.hack//Liminality,299.0,6.591,4.0,33.0,3428.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35022952728043283,0.008593732768078264,0.07063112326270223,0.4928972990896485,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
5,.hack//Quantum,9332.0,7.131,3.0,26.0,3104.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.37083192750201804,0.00821393945288483,0.08902939166097061,0.35675270954941507,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
6,.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,10390.0,6.351,3.0,3.0,6291.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.39679008619541767,0.02226855147162931,0.14285714285714288,0.16447368421052633,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
7,.hack//Roots,873.0,6.881,26.0,24.0,2216.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3656698222727355,0.02047929279893029,0.10959216222374119,0.4284433588022827,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
8,.hack//Sign,48.0,6.951,26.0,24.0,1163.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35253342968693396,0.00736141173236447,0.06578947368421052,0.4505738752181373,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
9,.hack//Tasogare no Udewa Densetsu,298.0,6.561,12.0,23.0,2345.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.37811761155092743,0.0129665000484262,0.09706083390293918,0.24403864390706498,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
10,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,1994.0,6.141,1.0,20.0,5375.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
11,.hack//The Movie: Sekai no Mukou ni,11375.0,7.071000000000001,1.0,110.0,4565.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38234011583974875,0.006091716179461475,0.0966051492367282,0.2760999591496232,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
12,.hack//Unison,1487.0,6.641,1.0,24.0,4058.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3818588339526758,0.012890599152117396,0.10457963089542038,0.23934594863447278,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
13,0-sen Hayato,12763.0,5.881,38.0,15.0,12378.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2614332855423317,0.0,0.000683526999316473,0.0,0.782707910750507,0.03377040161258782,0.7142857142857142,0.5385941644562334
14,009 Re:Cyborg,11755.0,6.461,1.0,103.0,4492.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.32477238350272125,0.005361436645199503,0.05194805194805195,0.6099776286353468,0.7424242424242424,0.024198083517353988,0.6530612244897959,0.5584677419354839
15,009 Re:Cyborg x Zip,32737.0,4.961,10.0,10.0,11081.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382707765808524,0.010722873290399006,0.10252904989747096,0.2199552572706935,0.7538461538461538,0.024760273580969626,0.673469387755102,0.5643939393939394
16,009-1,1583.0,6.221,12.0,25.0,4355.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3891389644726609,0.017848154231922434,0.12531328320802007,0.18976501769740126,0.7424242424242425,0.024198083517353988,0.6530612244897959,0.5584677419354839
17,07-Ghost,5525.0,7.201,25.0,23.0,999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3573431185619551,0.0009035435572178562,0.0533151059466849,0.42923742923742925,0.7259657594381036,0.017503519376258603,0.6224489795918366,0.6020763811642567
18,1+2=Paradise,2730.0,4.781,2.0,28.0,5808.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24705797819714687,0.0,0.000683526999316473,0.0,0.6451836451836452,0.007161562349912361,0.44897959183673464,0.6563691838291381
